517302,00000000000000000046ea49eea15547e4ed745381f170706377460145b242c5,BTC.com,faq73vj4pcs73thu.onion:8333,xub4w3w4wwk56xiq.onion:8333,jwxyqhp42cmwhqf3.onion:8333,ep2mjzox3kvb6ax4.onion:8333,kxsou2ikl3d4pyhv.onion:8333,fsdtnvc3y25g7xpo.onion:8333,dgs2gvxw4elsayqe.onion:8333,az6wancagfhf65w7.onion:8333,23wdfqkzttmenvki.onion:8333
517266,00000000000000000033de501a059f330025209f3eb66a9cdc571a381e0d610e,BTC.com,115.239.231.84:8333,5.9.50.185:8333,[2a01:4f8:13b:4281::2]:8333,35.158.103.243:8333,[2a01:238:43e0:e300:40fc:d479:2098:5f34]:8333,[2a01:4f8:201:11f1::2]:8333,116.62.210.86:8333,94.130.9.56:8333,94.130.146.34:8333,[2a01:4f8:140:4201::2]:8333
517265,000000000000000000321a11bdc3709759e81559031f3b4011a8d6bc8aca3bb0,AntPool,47.95.211.213:8333,159.65.83.218:8333,[2a01:4f8:b10:5009::2]:8333,[2a01:4f8:150:3343::2]:8333,52.29.178.25:8333,47.91.94.81:8333,5.9.115.51:8333,94.130.161.228:8333,47.91.78.239:8333,52.29.42.170:8333
517264,0000000000000000002dad3364d69aed7c3582e3d28fd76ac11c18fa7aec023a,SlushPool,[2a01:4f8:192:1191::2]:8333,144.76.84.146:8333,138.201.51.131:8333,[2a01:4f8:172:c86::2]:8333,[2a01:4f8:10a:1d8f::2]:8333,88.99.93.80:8333,144.76.165.111:8333,[2a01:4f8:a0:4366::2]:8333,[2a01:4f8:a0:746a:101:1:1:2]:8333,213.239.217.18:8333
517263,0000000000000000001820d3eee55ffa57c123bda288d786d22a6b0a2cfe5a33,SlushPool,[2a01:4f8:173:1622::2]:8333,138.201.206.35:8333,188.68.56.115:8333,178.63.96.4:8333,148.251.21.175:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333,5.9.87.26:8333,[2a01:4f8:141:448b::2]:8333,[2a01:4f8:a0:62a6::2]:8333,88.99.6.54:8333
517262,0000000000000000001fefb2c30c4960dc4f09f6807b2fe9f2a738b5918613c1,DPOOL,59.110.218.88:8333,39.106.49.18:8333,39.106.55.220:8333,39.106.51.68:8333,52.29.178.25:8333,149.202.94.141:8333,[2a01:4f8:141:448b::2]:8333,5.9.102.100:8333,47.91.78.239:8333,144.76.136.19:8333
517261,0000000000000000002887398a24b91f41d77570a9cb7bf49d885e609a55bce8,BTC.TOP,176.9.31.76:8333,176.9.24.206:8333,[2a01:4f8:150:3343::2]:8333,94.130.9.56:8333,47.91.94.81:8333,178.33.34.137:8333,52.29.42.170:8333,144.76.136.19:8333,[2a01:4f8:13b:109e::2]:8333,5.9.87.26:8333
517260,0000000000000000003f1b518e5c9f1d662c5562f4f1e23c8806099852e40ed7,ViaBTC,Not Found
517259,0000000000000000001e00ceb49c819ce4b7d2ff4097345c83146bc81a5466c7,SlushPool,jwbtcdomx5qspvsu.onion:8333,xub4w3w4wwk56xiq.onion:8333,l5oddj46pvoddzd4.onion:8333,dgs2gvxw4elsayqe.onion:8333,23wdfqkzttmenvki.onion:8333,sslnjjhnmwllysv4.onion:8333,wrwx2dy7jyh32o53.onion:8333,hda7fvzq3voh7mu6.onion:8333,pxvkjp6sfb2f7foe.onion:8333,i3a5xtzfm4xwtybd.onion:8333
517258,00000000000000000038f324c04b678c85b5ee25ca8b36d8eef313e7e733293f,ViaBTC,47.75.162.119:8333,13.229.202.118:8333,47.74.151.107:8333,47.91.243.78:8333,52.29.178.25:8333,[2a02:120b:c3cf:45c0:28b3:1108:73ca:5072]:8333,[2a01:4f8:171:141c::2]:5467,47.52.74.206:8333,183.248.243.24:8333,5.9.115.51:8333
517257,000000000000000000428a173468966d068f08f63f11c2d8db47d95ab861a32a,WAYI.CN,[2a01:4f8:172:1568::2]:8333,138.201.243.21:8333,[2a01:4f8:150:3343::2]:8333,[2a01:4f8:151:120c::2]:8333,[2a01:4f8:171:b4f::2]:8333,[2a01:4f8:13b:4281::2]:8333,47.91.78.239:8333,52.29.42.170:8333,[2a01:4f8:192:1191::2]:8333,136.243.104.75:8333
517256,0000000000000000003b3bab092183a0fe6c33b6656f360c4118564478126a5b,SlushPool,5.9.59.164:8333,[2a01:4f8:161:6091::2]:8333,37.61.204.236:8333,5.9.87.26:8333,148.251.21.175:8333,[2a01:4f8:192:1191::2]:8333,88.99.6.54:8333,213.239.196.9:8333,[2a01:4f8:10a:3fe4::2]:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333
517255,00000000000000000004b9e238f822a7bdf4104ffcc8ef44c22bef468a47facd,SlushPool,[2a01:4f8:160:636e::2]:8333,5.9.0.236:8333,[2a01:4f8:a0:4366::2]:8333,207.154.221.35:9250,[2a01:4f8:13b:2f5e::2]:8333,94.130.140.225:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333,109.230.239.51:8333,46.166.148.218:8333,[2001:41d0:303:411c::]:8333
517254,0000000000000000003b6b67cb4c5db2edae01a630c3ff795148f2abce9dc223,ViaBTC,Not Found
517253,0000000000000000000506c50e99c65b74f2d00ef2344f8139a831fdb6f0be30,DPOOL,Not Found
517252,0000000000000000002f1d23de38e9a20f90f52524bbdb4451f0dbc49897ba22,ViaBTC,Not Found
517251,000000000000000000190ac64c8c5a1a9acbf338d8435c0dcd74d41c0b031535,ViaBTC,Not Found
517250,000000000000000000429f5fec52afdc16540ef5eda2d5a711a988db8041da46,BitClub,sslnjjhnmwllysv4.onion:8333,5hwqdbwsa55ljmdm.onion:8333,xub4w3w4wwk56xiq.onion:8333,lvqv5nehy7q472kl.onion:8333,l5oddj46pvoddzd4.onion:8333,23wdfqkzttmenvki.onion:8333,v455gofckfzzakio.onion:8333,i3a5xtzfm4xwtybd.onion:8333,fz6nsij6jiyuwlsc.onion:8333,mxdtrjhe2yfsx3pg.onion:8333
517249,0000000000000000003e0453ef04d9e17818ec3718d1811f1c0b295887828870,BTC.com,88.99.107.117:8333,88.99.146.100:8333,[2a01:4f8:10a:2aa3::2]:8333,67.215.15.178:8333,52.73.175.120:8333,144.76.13.207:8333,[2620:1e6:100:1605::4]:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333,47.89.183.30:8333,108.58.252.82:8333
517248,000000000000000000175173c6fe40dd7cd74612e7b844be0419d8eac86c8375,SlushPool,5.9.87.26:8333,94.130.167.236:8333,88.99.6.54:8333,[2a01:4f8:10a:10a8::2]:8333,94.237.80.110:8333,178.63.96.4:8333,148.251.21.175:8333,[2a01:4f8:13b:131b::2]:8333,94.130.237.36:8333,136.243.146.69:8333
517247,0000000000000000004e4e712b8d6dd77f61681f061727922fc7267817bd7baf,F2Pool,52.29.178.25:8333,[2a01:4f8:13b:4281::2]:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333,47.91.94.81:8333,144.76.136.19:8333,5.9.102.100:8333,47.91.78.239:8333,[2a01:4f8:192:1191::2]:8333,52.29.42.170:8333,94.130.9.56:8333
517246,000000000000000000057f505e10e59b1775290fb8fc32c8d1585d62a0263d59,AntPool,Not Found
517245,0000000000000000004b1ef0def18c0549541e090dcb9199721e6cad8f18ccdf,CanoePool,fsdtnvc3y25g7xpo.onion:8333,oiswjdgmblg5uspc.onion:8333,az6wancagfhf65w7.onion:8333,kxsou2ikl3d4pyhv.onion:8333,ep2mjzox3kvb6ax4.onion:8333,xub4w3w4wwk56xiq.onion:8333,5hwqdbwsa55ljmdm.onion:8333,faq73vj4pcs73thu.onion:8333,wg6vwmbrzyyzapun.onion:8333,fucksxk4zbeobmmr.onion:8333
517244,000000000000000000212193a95a442d19b7558aecd1bbb716d29016b4dfb401,AntPool,39.104.116.26:8333,35.158.103.243:8333,39.106.115.71:8333,39.106.49.18:8333,77.163.136.136:8333,[2a01:4f8:192:1191::2]:8333,39.106.158.44:8333,138.201.20.221:8333,52.29.178.25:8333,88.198.35.38:8333
517243,0000000000000000003b1c548bb2bd6e9195a3ca1bce9a741d13bda0fadf9c0d,BTC.com,Not Found
517242,00000000000000000007286a3e30b5e3ecab56e12c8a364474df1b6dbf245564,BitClub,88.99.146.100:8334,88.99.107.117:8333,88.99.146.100:8333,[2a01:4f8:10a:2aa3::2]:8333,46.166.148.218:8333,[2620:1e6:100:1605::4]:8333,88.198.35.38:8333,78.193.96.155:8333,[2a01:4f8:10b:2a9b::2]:8333,148.251.21.175:8333
517241,0000000000000000003d1c0fa13f9373f5471d4ab46722b4f8b37dddb06fbcce,BTC.com,ep2mjzox3kvb6ax4.onion:8333,faq73vj4pcs73thu.onion:8333,kkdas3qebkosygu5.onion:8333,jwxyqhp42cmwhqf3.onion:8333,i3a5xtzfm4xwtybd.onion:8333,sslnjjhnmwllysv4.onion:8333,99.11.4.59:8333,[2607:5300:60:2c16::]:8333,119.28.187.169:8333
517240,00000000000000000004819b7cc7ae212c80dc9b8e115b6f0bb920c4834df664,SlushPool,54.174.208.181:8333,88.99.99.90:8333,[2a01:4f8:221:f59::2]:8333,138.68.94.213:8333,78.46.38.7:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333,109.230.239.51:8333,94.130.52.104:8333,88.198.35.38:8333,[2a01:4f8:13b:4281::2]:8333
517239,00000000000000000044e7105e20b009562df95b91ea16fe818efb16763d3901,BWPool,Not Found
517238,000000000000000000092fae69739f3f41b839262bc51d6733bdd67ad185144d,F2Pool,Not Found
517237,0000000000000000000cce6e312716b425f7269d9a0ce7b2005afe29852f5941,F2Pool,176.9.155.246:8333,88.99.99.90:8333,46.166.160.96:8333,[2001:41d0:800:128::]:8333,147.229.13.210:8333,185.45.237.209:8333,62.210.15.12:8333,[2a01:4f8:10a:3fe4::2]:8333,174.138.4.91:8333,62.210.112.94:8333
517236,0000000000000000000957dde131a0cb8d720c306d8d4fe219086b7ff7f94afe,KanoPool,Not Found
517235,0000000000000000003f29f2aedbd4f0daf2f38bf75dacd7693a532efb4429fa,BTC.com,lvqv5nehy7q472kl.onion:8333,fsdtnvc3y25g7xpo.onion:8333,l5oddj46pvoddzd4.onion:8333,fucksxk4zbeobmmr.onion:8333,226eupdnaouu4h2v.onion:8333,kvd44sw7skb5folw.onion:8333,xub4w3w4wwk56xiq.onion:8333,kxsou2ikl3d4pyhv.onion:8333,5hwqdbwsa55ljmdm.onion:8333,23wdfqkzttmenvki.onion:8333
517234,000000000000000000268b0323117758d4d25194086a3b0d6a5e6d7bcbf3b9b1,AntPool,136.243.146.69:8333,[2a01:4f8:171:14c4::2]:8333,62.138.13.142:8333,[2a01:4f8:a0:62a6::2]:8333,5.9.151.241:8333,188.166.101.245:8333,[2001:4b98:dc0:47:216:3eff:fe2f:1e74]:8333,[2a01:4f8:141:2254::2]:8333,[2a01:4f8:c17:6dd0::2]:8333,5.9.115.51:8333
517233,0000000000000000004dc71848ff31f8c227f7e73efe42da4cdfcbfffd1e7099,BWPool,Not Found
517232,000000000000000000129ce9e062094584471d8af6632b7bea644f6b986941d7,AntPool,52.29.178.25:8333,88.99.107.117:8333,88.99.146.100:8333,[2a01:4f8:10a:2aa3::2]:8333,5.9.115.51:8333,[2a01:4f8:162:30cb::2]:8333,[2a01:4f8:192:1191::2]:8333,94.130.10.158:8333,103.203.51.74:8333,[2a01:4f8:171:141c::2]:5467
517231,0000000000000000002ad975a9e156f9a773a07e297dfeabd02574ef377c3a84,BitFury,88.99.107.117:8333,88.99.146.100:8333,[2a01:4f8:10a:2aa3::2]:8333,88.198.35.38:8333,176.9.32.5:8333,88.99.162.199:8333,195.154.223.131:8333,148.251.21.175:8333,88.99.194.109:8333,207.154.221.35:9250
517230,00000000000000000037c2423cae95779f76a8a798fc5dc02d0e0b68427eaedf,BTC.com,47.95.2.17:8333,85.129.0.126:8333,34.227.114.113:8333,[2001:41d0:303:411c::]:8333,[2001:41d0:1008:1c23::]:8333,217.79.202.173:8333,[2a01:4f8:192:1191::2]:8333,176.9.155.246:8333,88.198.35.38:8333,148.76.42.147:8333
517229,0000000000000000004c011a20ed06f2bffe62a47d1d13e918e7a3424fdef3dc,CanoePool,59.110.12.129:8333,39.106.115.71:8333,88.99.107.117:8333,46.166.148.218:8333,39.106.158.44:8333,39.106.161.228:8333,39.106.159.183:8333,88.198.35.38:8333,52.29.178.25:8333,39.106.22.237:8333
517228,00000000000000000040e559ba73e3143b8fd4885aefad1f273644bb4faf26fa,BTC.TOP,[2001:250:209:b09::156]:8333,103.7.73.227:8333,79.145.73.160:8333,159.89.117.138:8333,167.99.161.132:8333,157.13.61.158:8333,189.14.59.81:8333,220.245.196.37:8333,64.99.224.88:8333
517227,0000000000000000000ba1575d78ef0f66faa5b8a0ee3a8cf6effe64c3e2d104,BTC.TOP,[2a01:4f8:172:1568::2]:8333,138.201.243.21:8333,5.9.102.100:8333,178.78.213.33:8333,[2a01:4f8:151:120c::2]:8333,[2a01:4f8:13b:4281::2]:8333,138.201.221.83:8333,[2a01:4f8:171:b4f::2]:8333,82.149.97.25:17567,[2a01:4f8:192:1191::2]:8333
517226,000000000000000000476f93da1423f01e4f484a431a048337fdb14700379ee5,BTC.com,xub4w3w4wwk56xiq.onion:8333,faq73vj4pcs73thu.onion:8333,pxn5gdnzuot2lfxc.onion:8333,sslnjjhnmwllysv4.onion:8333,l5oddj46pvoddzd4.onion:8333,ep2mjzox3kvb6ax4.onion:8333,kkdas3qebkosygu5.onion:8333,v455gofckfzzakio.onion:8333,23wdfqkzttmenvki.onion:8333,kxsou2ikl3d4pyhv.onion:8333
517225,0000000000000000003db9a66b770da147950273b7af5dd9f0744d60bb1577c3,BTPOOL,Not Found
517224,0000000000000000003c7b8d6310e6892dd7c8b1410e8ac55907a223c6182225,BTC.TOP,178.78.213.33:8333,39.106.161.228:8333,39.106.159.183:8333,18.188.45.218:8333,85.214.241.144:8333,52.53.127.0:8333,[2a02:c205:2015:2475::1]:8333,149.210.189.102:8333,5.9.102.100:8333,109.206.177.21:8333
517223,0000000000000000001aabd460020aa70a922a9c0532c870093a899d09c43d0e,BTC.TOP,[2a01:4f8:172:1568::2]:8333,138.201.243.21:8333,5.9.102.100:8333,[2a01:4f8:141:448b::2]:8333,176.9.155.246:8333,[2a01:4f8:a0:62a6::2]:8333,5.9.115.51:8333,148.251.21.175:8333,47.91.94.81:8333,[2a01:4f8:192:1191::2]:8333
517222,00000000000000000024ba44f612c7d4296ddf781f44139dd763b28c7f71a6be,ViaBTC,47.254.131.24:8333,148.251.4.137:8333,[2a01:4f8:201:5488::2]:8333,18.196.114.205:8333,[2a01:4f8:140:9409::2]:8002,46.4.102.164:8002,[2a01:4f8:10b:ee1::2]:8333,94.130.10.158:8333,[2a01:4f8:a0:2232::2]:8333,88.198.35.38:8333
517221,000000000000000000368ae18adfd56ccc65135bc8a767c4f0ced2321617ddfc,F2Pool,[2a01:4f8:c0c:821::2]:8333,77.232.133.182:8333,88.99.168.251:8333,[2002:3d92:b240::3d92:b240]:8333,[2a02:7aa0:1619::a7a2:7e86]:8333,[2a01:4f8:c0c:105f::2]:8333,159.89.105.191:8333,[2a00:1328:e101:c00::163]:8333,104.171.223.249:8333,[2a01:430:17:1::ffff:1153]:8333
